Name,Latitude,Longitude,Con heridos,Con muertos,Solo daños,Atropello,Caida Ocupante,Choque,Incendio,Otro,Volcamiento,Semana,Fin de semana
villa turbay,6.237172562799421,-75.5300713304358,45,0,9,11,12,18,0,12,1,36,18
villa del socorro,6.294672095735861,-75.55293404387717,340,0,169,104,55,254,0,75,21,338,171
villatina,6.237023631911479,-75.53957761594505,438,0,150,118,95,233,0,99,43,398,190
volcana guayabal,6.31916006110051,-75.6789161595231,3,0,0,1,0,0,0,1,1,3,0
yarumalito,6.22851094078429,-75.6927658531668,1,0,0,0,0,0,0,0,1,1,0
yolombo,6.30446299430554,-75.61393303910182,22,0,14,1,0,26,0,7,2,25,11
area de expansion altavista,6.221182517017287,-75.61398153938653,33,0,6,6,7,18,0,4,4,27,12
area de expansion belen rincon,6.2147096260957095,-75.60695496870392,2,0,9,0,0,11,0,0,0,8,3
area de expansion pajarito,6.2843956920735575,-75.6134978465039,784,3,237,120,173,451,1,202,77,728,296
area de expansion san antonio de prado,6.17758096922262,-75.65503549479456,59,0,22,11,11,45,0,8,6,53,28
